numero,valor
406,687935
407,875059
408,1232875
409,228711
410,510976
411,1121459
412,268140
413,849532
414,784292
415,758577
416,274591
417,939457
418,427412
419,1464226
420,816577
421,629253
422,684009
423,38366
424,70261
425,1063294
426,747560
427,1001849
428,1486725
429,1310210
430,1404175
431,885224
432,111422
433,1305506
434,1023925
435,713031
436,1088455
437,1077241
438,1069092
439,218066
440,399449
441,1180908
442,292273
443,528572
444,1171591
445,406671
446,1215553
447,378155
448,536368
449,394969
450,1369203
451,196273
452,585263
453,1114676
454,214263
455,210541
456,268983
457,1433445
458,202710
459,530915
460,889293
461,578222
462,991592
463,1000394
464,1081670
465,718717
466,273079
467,581071
468,962845
469,623638
470,66418
471,1075569
472,980712
473,189732
474,411950
475,253693
476,48741
477,1372070
478,78487
479,288595
480,933295
481,1294536
482,1009272
483,1399920
484,1181390
485,358015
486,870775
487,650082
488,1316269
489,986520
490,607202
491,286372
492,864707
493,558067
494,1002973
495,1413316
496,671208
497,273815
498,653455
499,147577
500,445867
501,553143
502,539628
503,332204
504,862201
505,700249
506,51183
507,1309048
508,636981
509,1319017
510,539001
511,587037
512,288857
513,1178038
514,948083
515,588027
516,720631
517,686443
518,796995
519,1054081
520,686366
521,1289569
522,815325
523,1020117
524,1190101
525,845794
526,312085
527,230587
528,376947
529,953061
530,306290
531,814536
532,1295126
533,153606
534,1421538
535,267133
536,1060378
537,807255
538,607787
539,1202066
540,204376
541,374850
542,178525
543,328069
544,716538
545,245023
546,144542
547,451082
548,1090156
549,1118732
550,642870
551,321708
552,1007264
553,1463356
554,77307
555,897202
556,1040953
557,1363663
558,547954
559,4322
560,324813
561,1381955
562,662070
563,1368441
564,453300
565,1099647
566,1021872
567,1430972
568,626729
569,1235656
570,1245378
571,195830
572,1206737
573,592998
574,721028
575,1218665
576,1453582
577,689474
578,1039641
579,12091
580,739998
581,1270713
582,503147
583,721308
584,155843
585,792224
586,613448
587,1469138
588,316756
589,1444590
590,461922
591,1156248
592,1198139
593,983080
594,910044
595,901459
596,954023
597,1394391
598,670722
599,602507
600,492799
601,1251833
602,1224549
603,898808
604,717287
605,1053304
606,681770
607,110722
608,749304
609,1298372
610,922618
611,478216
612,1334346
613,772272
614,1144303
615,143054
616,157976
617,1469231
618,380806
619,415602
620,391801
621,1332358
622,955057
623,555529
624,54409
625,812335
626,917035
627,232215
628,1109431
629,1456169
630,1042904
631,1339180
632,1038318
633,728142
634,22838
635,614087
636,293756
637,1409601
638,260384
639,660673
640,1109610
641,465611
642,694109
643,1106156
644,1372541
645,51492
646,1475940
647,1134510
648,202112
649,625518
650,116928
651,163163
652,111739
653,35426
654,1145743
655,1233599
656,1209371
657,287717
658,1405446
659,1488988
660,1324202
661,128774
662,1484861
663,517240
664,1291785
665,1109362
666,281619
667,323046
668,294743
669,26170
670,1054357
671,193297
672,1246717
673,767595
674,1499586
675,750692
676,163425
677,267019
678,218433
679,376201
680,1195540
681,645167
682,526926
683,1201871
684,1487201
685,1498143
686,1372205
687,51923
688,692177
689,809408
690,1189007
691,391714
692,364796
693,1171287
694,699907
695,1088411
696,848494
697,1085269
698,633932
699,625601
700,990654
701,970929
702,453399
703,787532
704,1031022
705,526919
706,127625
707,1196556
708,475026
709,1432507
710,624126
711,257105
712,713193
713,776800
714,378012
715,15095
716,525217
717,665325
718,318271
719,752884
720,1354754
721,1099819
722,281997
723,77378
724,118877
725,1287685
726,1063199
727,21230
728,1350081
729,1293156
730,199574
731,1490491
732,887090
733,842533
734,313924
735,778457
736,948541
737,689790
738,745415
739,155929
740,168581
741,1331212
742,332195
743,32765
744,1378878
745,686759
746,4074
747,149297
748,475902
749,746334
750,1470293
751,515319
752,970998
753,101951
754,774512
755,131308
756,1149990
757,418334
758,235173
759,532239
760,914450
761,124796
762,751319
763,604312
764,304000
765,1172962
766,968549
767,291620
768,108902
769,13147
770,1266333
771,1035861
772,892327
773,1101014
774,1160291
775,839326
776,1194358
777,673418
778,1393692
779,413189
780,302923
781,486620
782,744767
783,1260735
784,917847
785,518312
786,265330
787,397186
788,1092814
789,1389973
790,413968
791,1190788
792,649847
793,128637
794,1322411
795,1272397
796,645877
797,901408
798,1251675
799,1386446
800,1477213
801,1460806
802,1222130
803,1415558
804,734304
805,1329754
806,332836
807,1325046
808,935631
809,747800
810,656033
811,264284
812,2275
813,719493
814,18868
815,215910
816,229119
817,1068785
818,801065
819,269248
820,1170429
821,295800
822,151416
823,1087431
824,488835
825,748002
826,739219
827,4965
828,1273958
829,588508
830,1149097
831,381545
832,873753
833,290851
834,300662
835,311001
836,594984
837,1250527
838,1280865
839,778114
840,882354
841,391169
842,475628
843,740300
844,1213714
845,1419742
846,540467
847,53581
848,917438
849,1290884
850,688592
851,1085365
852,1421910
853,804650
854,1373544
855,301471
856,728852
857,265629
858,118860
859,1105279
860,868486
861,707312
862,513888
863,1376867
864,1488425
865,510500
866,1407508
867,901171
868,1294296
869,237142
870,340814
871,364310
872,1242597
873,119455
874,1089172
875,1221957
876,1013731
877,210174
878,456388
879,1023027
880,1128231
881,21484
882,1015033
883,1384910
884,1333067
885,1186374
886,904262
887,574286
888,681316
889,76351
890,306687
891,64529
892,160423
893,302749
894,281996
895,317568
896,874329
897,1247528
898,629213
899,161499
900,629226
901,330368
902,248536
903,1190602
904,826031
905,348131
906,436792
907,124134
908,874184
909,523615
910,212792
911,995634
912,1440754
913,1068947
914,1191363
915,1162104
916,1391891
917,954916
918,955155
919,121776
920,1043816
921,334795
922,478787
923,1495196
924,753195
925,1397291
926,1412768
927,1455184
928,1499023
929,896394
930,32928
931,649107
932,805693
933,1076569
934,1068386
935,432615
936,453897
937,1122944
938,9547
939,1494018
940,1389527
941,112770
942,357283
943,803138
944,804829
945,421390
946,54966
947,290843
948,912529
949,299164
950,1442028
951,1125122
952,902818
953,1203979
954,119859
955,608935
956,1367979
957,739390
958,1195709
959,617006
960,203906
961,200351
962,351495
963,447838
964,169388
965,423383
966,980454
967,86968
968,538362
969,120828
970,1135466
971,579197
972,1492076
973,635234
974,1095749
975,1497767
976,1282690
977,1193535
978,925477
979,1305796
980,161271
981,1282366
982,468387
983,25349
984,989287
985,1275842
986,697976
987,520407
988,110064
989,1379935
990,1427947
991,31785
992,693154
993,1247764
994,172391
995,785385
996,1083187
997,1401300
998,1164973
999,1272876
1000,688354
1001,140693
1002,1222899
1003,752646
1004,168320
1005,532152
1006,821741
1007,922446
1008,343901
1009,288035
1010,130510
1011,1251668
1012,1215922
1013,817229
1014,284984
1015,645523
1016,994581
1017,764272
1018,530551
1019,840636
1020,619849
1021,1335831
1022,1016273
1023,764121
1024,410485
1025,1219129
1026,1009943
1027,157321
1028,513169
1029,1174497
1030,1073594
1031,583681
1032,1373393
1033,287166
1034,1105887
1035,221112
1036,1315508
1037,171936
1038,84926
1039,1465899
1040,773042
1041,1070219
1042,519440
1043,1264786
1044,1495544
1045,145689
1046,69394
1047,1046327
1048,1229034
1049,1395627
1050,377917
1051,786480
1052,316923
1053,260040
1054,358781
1055,985163
1056,18153
1057,1182928
1058,267276
1059,467620
1060,206912
1061,1272808
1062,280083
1063,303710
1064,1051650
1065,1045154
1066,717238
1067,1338541
1068,612322
1069,1243574
1070,696951
1071,726011
1072,164810
1073,355982
1074,702465
1075,1203107
1076,615311
1077,258147
1078,955203
1079,1186313
1080,517453
1081,597164
1082,195080
1083,1373539
1084,1058281
1085,1242191
1086,172914
1087,147736
1088,1187015
1089,92840
1090,146029
1091,139615
1092,625468
1093,436759
1094,248326
1095,751806
1096,590672
1097,809879
1098,566339
1099,1288723
1100,274993
1101,1310941
1102,1234423
1103,408876
1104,1365658
1105,1357529
1106,806544
1107,1150108
1108,1494114
1109,52758
1110,1283171
1111,1448627
1112,1470205
1113,464748
1114,1035352
1115,1017586
1116,1106438
1117,451065
1118,188055
1119,574426
1120,1206263
1121,763536
1122,723436
1123,880785
1124,938700
1125,561192
1126,867863
1127,270892
1128,594941
1129,702393
1130,474065
1131,1203083
1132,1331853
1133,1365002
1134,1040453
1135,1218622
1136,127937
1137,718381
1138,617705
1139,1362683
1140,230875
1141,308500
1142,202596
1143,858442
1144,913139
1145,929575
1146,161018
1147,282566
1148,917716
1149,766714
1150,646857
1151,839029
1152,1075296
1153,1033341
1154,781138
1155,1284167
1156,1059934
1157,1304208
1158,628797
1159,516020
1160,662086
1161,1060759
1162,918374
1163,348059
1164,1357570
1165,1027987
1166,1449081
1167,780880
1168,438013
1169,1466321
1170,1363771
1171,267426
1172,265384
1173,82309
1174,440792
1175,2160
1176,1023468
1177,492556
1178,830543
1179,682604
1180,1235841
1181,7638
1182,1079573
1183,719818
1184,116765
1185,1117825
1186,359438
1187,72568
1188,504950
1189,111420
1190,130929
1191,1263617
1192,160822
1193,1210075
1194,1229003
1195,1153024
1196,556681
1197,1334218
1198,566215
1199,73211
1200,947378
1201,1459125
1202,943246
1203,1052594
1204,186655
1205,1324711
1206,1385514
1207,320101
1208,612488
1209,245574
1210,879569
1211,464253
1212,507293
1213,1043564
1214,274543
1215,1413119
1216,1265953
1217,264743
1218,19094
1219,370940
1220,915374
1221,858907
1222,684409
1223,752378
1224,573331
1225,1088434
1226,1420940
1227,1391192
1228,437349
1229,392768
1230,1277578
1231,1195274
1232,1159053
1233,1225076
1234,300093
1235,1216085
1236,888740
1237,111553
1238,1362323
1239,16041
1240,240646
1241,208494
1242,1269922
1243,719634
1244,797275
1245,189091
1246,1337682
1247,944454
1248,566833
1249,893607
1250,632247
1251,702668
1252,149758
1253,663708
1254,128108
1255,608801
1256,1469494
1257,527791
1258,1301952
1259,1170259
1260,1075834
1261,258845
1262,721972
1263,1160988
1264,1081028
1265,504477
1266,912524
1267,375112
1268,1445299
1269,910441
1270,82724
1271,1103801
1272,273349
1273,606786
1274,1323365
1275,836102
1276,186465
1277,721145
1278,803913
1279,614069
1280,371567
1281,914121
1282,1494098
1283,553389
1284,869507
1285,1175373
1286,222790
1287,133528
1288,1246805
1289,591631
1290,488224
1291,1106747
1292,1030960
1293,744677
1294,35909
1295,1455377
1296,758076
1297,737889
1298,688089
1299,1368006
1300,539720
1301,1205178
1302,1326613
1303,632253
1304,74769
1305,1409161
1306,393450
1307,1027359
1308,525302
1309,476345
1310,653289
1311,931038
1312,480352
1313,426360
1314,130490
1315,1191321
1316,1066457
1317,1031990
1318,779116
1319,397026
1320,166039
1321,1468548
1322,498083
1323,787229
1324,138994
1325,598599
1326,515235
1327,637377
1328,1212776
1329,390123
1330,1046169
1331,1114719
1332,912964
1333,1369117
1334,223839
1335,72354
1336,1232391
1337,688482
1338,1081297
1339,372607
1340,567853
1341,1175124
1342,1416692
1343,301699
1344,566295
1345,1110415
1346,650420
1347,187936
1348,1339100
1349,84713
1350,428603
1351,833646
1352,1194553
1353,1164930
1354,360128
1355,156262
1356,131164
1357,1207877
1358,374538
1359,1169923
1360,703276
1361,903311
1362,348018
1363,140065
1364,690615
1365,284471
1366,1206754
1367,1254724
1368,910453
1369,950644
1370,933803
1371,1007605
1372,1421001
1373,1437163
1374,563121
1375,575988
1376,847997
1377,189535
1378,376868
1379,1276921
1380,728365
1381,343893
1382,1369342
1383,507485
1384,1009650
1385,4360
1386,71436
1387,313624
1388,114093
1389,982076
1390,1267334
1391,169427
1392,423105
1393,1229280
1394,638046
1395,1059978
1396,1449025
1397,1258311
1398,1246812
1399,94594
1400,1465638
1401,958645
1402,343986
1403,335985
1404,287266
1405,431500
1406,104918
1407,71178
1408,976428
1409,693303
1410,27506
1411,1078317
1412,949162
1413,1394188
1414,124278
1415,721672
1416,609437
1417,397114
1418,678480
1419,340327
1420,1241712
1421,800523
1422,1114526
1423,1250409
1424,1152888
1425,144419
1426,224864
1427,275817
1428,835779
1429,118385
1430,974534
1431,717741
1432,952643
1433,844478
1434,895916
1435,263561
1436,161729
1437,820194
1438,559807
1439,852033
1440,1183549
1441,1020959
1442,1127674
1443,40450
1444,321969
1445,1246762
1446,167176
1447,1483777
1448,675668
1449,1158985
1450,948893
1451,942431
1452,50580
1453,444000
1454,368457
1455,112673
1456,275332
1457,895682
1458,911440
1459,1337297
1460,678193
1461,529980
1462,446771
1463,713380
1464,289680
1465,1207084
1466,747845
1467,305678
1468,1010148
1469,1343774
1470,557942
1471,1086203
1472,1117385
1473,219999
1474,799205
1475,1340847
1476,1425482
1477,55597
1478,661734
1479,265985
1480,383970
1481,658452
1482,175474
1483,118338
1484,192358
1485,1454958
1486,1144152
1487,595786
1488,382543
1489,1018485
1490,865499
1491,999674
1492,1445996
1493,1186757
1494,429906
1495,211298
1496,933926
1497,414535
1498,1318610
1499,581644
1500,1116997
1501,150087
1502,1395180
1503,1123456
1504,30997
1505,536526
1506,632657
1507,1102130
1508,307526
1509,784245
1510,1247397
1511,650654
1512,688327
1513,1474697
1514,1348210
1515,87413
1516,511027
1517,1140835
1518,658638
1519,66939
1520,1427606
1521,1104547
1522,601205
1523,667021
1524,1137943
1525,1289854
1526,376374
1527,484056
1528,381395
1529,1143116
1530,581047
1531,587554
1532,8461
1533,176807
1534,813437
1535,156285
1536,790251
1537,1020246
1538,643627
1539,255935
1540,584815
1541,931569
1542,1187019
1543,1334750
1544,931409
1545,1286742
1546,120811
1547,480657
1548,330712
1549,1330409
1550,412508
1551,718238
1552,1306092
1553,807802
1554,215037
1555,779793
1556,1207928
1557,202502
1558,303544
1559,681901
1560,701998
1561,439300
1562,353709
1563,295295
1564,1319842
1565,1261808
1566,632226
1567,1059956
1568,1092967
1569,100855
1570,20398
1571,1298900
1572,279958
1573,1316429
1574,750012
1575,1020357
1576,523694
1577,1314156
1578,265351
1579,908813
1580,552284
1581,912450
1582,1269747
1583,811757
1584,1175835
1585,1165070
1586,507444
1587,1255605
1588,293908
1589,932313
1590,454091
1591,532933
1592,365846
1593,937299
1594,1468649
1595,357889
1596,1406343
1597,425935
1598,1123289
1599,967082
1600,1448172
1601,307613
1602,211535
1603,780431
1604,633652
1605,507213
1606,271670
1607,34487
1608,61203
1609,715735
1610,1002713
1611,424774
1612,839451
1613,1395889
1614,19490
1615,171098
1616,694715
1617,1004366
1618,1398740
1619,1379935
1620,971876
1621,1052400
1622,1143358
1623,1323641
1624,376595
1625,936652
1626,193204
1627,1221134
1628,580557
1629,220527
1630,1324067
1631,573447
1632,1383603
1633,791111
1634,1128413
1635,9580
1636,570154
1637,460567
1638,1261993
1639,899753
1640,499632
1641,1110609
1642,873506
1643,998113
1644,761598
1645,197408
1646,817678
1647,1340714
1648,1416894
1649,211678
1650,525061
1651,1196002
1652,496188
1653,234657
1654,253213
1655,1161052
1656,1204527
1657,494208
1658,622721
1659,249006
1660,1385627
1661,368320
1662,1386326
1663,1251502
1664,1140345
1665,563539
1666,1473337
1667,832383
1668,1484684
1669,1397165
1670,794963
1671,1398798
1672,545991
1673,1228587
1674,1285027
1675,1143845
1676,1212191
1677,656108
1678,1094561
1679,865151
1680,1218224
1681,398961
1682,272089
1683,891621
1684,766947
1685,784831
1686,106883
1687,788165
1688,1051961
1689,468015
1690,574529
1691,769963
1692,784901
1693,642339
1694,447118
1695,20378
1696,1162307
1697,1348837
1698,1080433
1699,1327337
1700,1185951
1701,453635
1702,413113
1703,139154
1704,1139021
1705,430947
1706,1395530
1707,1275509
1708,1116937
1709,701772
1710,1333483
1711,1327310
1712,1359
1713,132021
1714,914043
1715,778837
1716,1210144
1717,895379
1718,60857
1719,1191159
1720,646233
1721,1291858
1722,1435104
1723,793627
1724,672781
1725,1395276
1726,468123
1727,436037
1728,150874
1729,431309
1730,490455
1731,1273830
1732,940830
1733,1218013
1734,484599
1735,483340
1736,410128
1737,366379
1738,1326268
1739,917344
1740,465395
1741,1136115
1742,714489
1743,676466
1744,1077182
1745,729173
1746,182995
1747,1126771
1748,1195160
1749,477077
1750,648829
1751,528521
1752,1415342
1753,1130040
1754,409779
1755,1103682
1756,728690
1757,140767
1758,481412
1759,88066
1760,321593
1761,205647
1762,851358
1763,347000
1764,628632
1765,1131400
1766,599022
1767,788693
1768,766565
1769,305433
1770,365109
1771,581709
1772,756653
1773,95277
1774,307483
1775,964873
1776,1219808
1777,282703
1778,994668
1779,685999
1780,1412592
1781,910267
1782,268229
1783,272777
1784,766466
1785,1276753
1786,1061705
1787,1062443
1788,830373
1789,1156242
1790,1356567
1791,346960
1792,836744
1793,974690
1794,142048
1795,324596
1796,929090
1797,1434715
1798,213462
1799,172804
1800,617246
1801,33463
1802,692470
1803,1313110
1804,724265
1805,1492969
1806,1118889
1807,1390752
1808,297982
1809,746026
1810,83692
1811,685780
1812,1435761
1813,534201
1814,908138
1815,910779
1816,658576
1817,150661
1818,341593
1819,1183241
1820,927349
1821,203357
1822,944844
1823,1345580
1824,583423
1825,244504
1826,723975
1827,585717
1828,1082979
1829,130826
1830,1379182
1831,839053
1832,1467149
1833,980965
1834,231077
1835,1160988
1836,1151638
1837,760378
1838,412690
1839,545551
1840,64481
1841,728653
1842,613210
1843,248757
1844,1296986
1845,1026536
1846,1298880
1847,981701
1848,661598
1849,1079968
1850,1303566
1851,427965
1852,272970
1853,206738
1854,333024
1855,54731
1856,226536
1857,228572
1858,577474
1859,1210183
1860,1250105
1861,64310
1862,796446
1863,445797
1864,993987
1865,484079
1866,1015467
1867,601527
1868,1275708
1869,115904
1870,827690
1871,125863
1872,45645
1873,529030
1874,1247771
1875,1067036
1876,289381
1877,111385
1878,78209
1879,880498
1880,1093743
1881,293011
1882,756909
1883,902105
1884,1117994
1885,237175
1886,1104662
1887,1257369
1888,540053
1889,28875
1890,634338
1891,1285394
1892,624229
1893,1130415
1894,850251
1895,924125
1896,1146033
1897,555576
1898,1262599
1899,44490
1900,368825
1901,1418657
1902,358294
1903,617761
1904,750179
1905,266362
1906,83608
1907,1292633
1908,916137
1909,256117
1910,67342
1911,569615
1912,553604
1913,216075
1914,1371866
1915,993184
1916,893376
1917,1495628
1918,699231
1919,1257088
1920,925078
1921,928955
1922,257679
1923,595921
1924,190158
1925,668522
1926,387415
1927,413225
1928,1088603
1929,1154483
1930,1444455
1931,254189
1932,239154
1933,1290414
1934,619376
1935,684393
1936,641203
1937,446810
1938,579011
1939,538851
1940,281486
1941,1143966
1942,1111619
1943,164755
1944,1397358
1945,1246408
1946,54423
1947,470720
1948,1059607
1949,1309960
1950,206455
1951,88168
1952,458455
1953,612965
1954,582260
1955,1188703
1956,475249
1957,189631
1958,1005751
1959,1161861
1960,437582
1961,1328920
1962,197098
1963,1295150
1964,1449161
1965,1084900
1966,201065
1967,47646
1968,553396
1969,1288786
1970,949849
1971,987003
1972,1061401
1973,1428820
1974,89301
1975,891442
1976,1230895
1977,1184798
1978,903393
1979,1015336
1980,782049
1981,761896
1982,1167401
1983,854146
1984,65531
1985,1101226
1986,1270856
1987,1288995
1988,490891
1989,1066593
1990,972924
1991,693300
1992,1008202
1993,353696
1994,599616
1995,1298915
1996,708834
1997,602214
1998,1170676
1999,634125
2000,383979
2001,144753
2002,1463332
2003,54141
2004,426338
2005,1358527
2006,734180
2007,787463
2008,984794
2009,979005
2010,952453
2011,674097
2012,505070
2013,764450
2014,815607
2015,168195
2016,489844
2017,1329707
2018,356500
2019,1260167
2020,94679
2021,879295
2022,1140739
2023,347902
2024,265348
2025,1233396
2026,1108660
2027,328987
2028,111041
2029,889204
2030,799073
2031,1292645
2032,1019378
2033,735828
2034,1408957
2035,798859
2036,1415507
2037,633918
2038,1210274
2039,570126
2040,136625
2041,83791
2042,1007935
2043,326076
2044,1134650
2045,1172793
2046,1398181
2047,208406
2048,687276
2049,1140089
2050,517723
2051,1194020
2052,1341158
2053,1363632
2054,363032
2055,1043364
2056,299678
2057,817094
2058,757580
2059,770896
2060,267077
2061,188908
2062,1356350
2063,1279318
2064,566643
2065,957516
2066,105609
2067,465083
2068,494837
2069,810010
2070,1041559
2071,994008
2072,1046798
2073,409900
2074,1281755
2075,373869
2076,840128
2077,819109
2078,318282
2079,934031
2080,207633
2081,528304
2082,736747
2083,327671
2084,634437
2085,945371
2086,1386406
2087,384749
2088,501661
2089,35709
2090,165525
2091,257836
2092,71669
2093,1028143
2094,504289
2095,950257
2096,639641
2097,1129654
2098,1041533
2099,1477288
2100,876810
2101,924952
2102,686371
2103,871323
2104,1320212
2105,251056
2106,743598
2107,1157394
2108,1212485
2109,625388
2110,938021
2111,168398
2112,831818
2113,90874
2114,1478844
2115,1049579
2116,1132223
2117,751332
2118,218551
2119,735279
2120,566964
2121,1446673
2122,976166
2123,763782
2124,623668
2125,724310
2126,398951
2127,1045214
2128,1281041
2129,1190611
2130,1400469
2131,584950
2132,1097908
2133,987664
2134,176931
2135,161205
2136,866533
2137,25650
2138,800565
2139,229783
2140,384163
2141,1431452
2142,363128
2143,518358
2144,551420
2145,401640
2146,191843
2147,1113983
2148,574043
2149,94392
2150,1077380
2151,436836
2152,1065725
2153,702061
2154,1333513
2155,343884
2156,1211562
2157,364927
2158,1230691
2159,263114
2160,339980
2161,135510
2162,1470386
2163,779958
2164,143255
2165,58686
2166,300879
2167,468702
2168,832780
2169,1425468
2170,516164
2171,1044498
2172,1299349
2173,1476467
2174,1479159
2175,1209481
2176,1164310
2177,478720
2178,295810
2179,261206
2180,872040
2181,94966
2182,436160
2183,150546
2184,1119471
2185,197574
2186,259997
2187,1312448
2188,561045
2189,642071
2190,876888
2191,81991
2192,1391953
2193,255987
2194,1260135
2195,322834
2196,598963
2197,1009165
2198,391083
2199,134395
2200,616137
2201,354008
2202,1477795
2203,754967
2204,1130987
2205,339571
2206,12741
2207,545626
2208,167290
2209,1469486
2210,53077
2211,114955
2212,1186153
2213,911931
2214,1434140
2215,1271720
2216,870620
2217,1253654
2218,1411123
2219,801685
2220,504014
2221,1455157
2222,22395
2223,1201621
2224,596521
2225,86563
2226,874155
2227,435038
2228,738936
2229,1094066
2230,411142
2231,327289
2232,950706
2233,760982
2234,1086038
2235,511396
2236,296277
2237,1377845
2238,1176429
2239,570982
2240,707232
2241,1054224
2242,1015094
2243,478744
2244,823874
2245,1087431
2246,336177
2247,655935
2248,692191
2249,1082410
2250,1361230
2251,292229
2252,1454173
2253,1156270
2254,413753
2255,887427
2256,992097
2257,511173
2258,496108
2259,434142
2260,660124
2261,1325199
2262,185761
2263,141141
2264,1012031
2265,1262627
2266,97450
2267,27917
2268,1401779
2269,149180
2270,132168
2271,1124364
2272,1321251
2273,215511
2274,457124
2275,1013629
2276,876236
2277,223401
2278,517919
2279,554588
2280,919805
2281,368348
2282,1177839
2283,1188714
2284,1172418
2285,1053290
2286,652482
2287,113641
2288,1015390
2289,418725
2290,332186
2291,1190810
2292,585490
2293,98351
2294,1166082
2295,327982
2296,865446
2297,374882
2298,175097
2299,351332
2300,873429
2301,40517
2302,706490
2303,912678
2304,599533
2305,1017367
2306,1104187
2307,706050
2308,666275
2309,178441
2310,1215010
2311,1467912
2312,234407
2313,559452
2314,562981
2315,1486359
2316,524616
2317,26691
2318,19487
2319,182627
2320,310014
2321,697937
2322,381684
2323,1065368
2324,920605
2325,801557
2326,1256418
2327,1407600
2328,812738
2329,363614
2330,162903
2331,464108
2332,620647
2333,690047
2334,337447
2335,1208830
2336,1267080
2337,5754
2338,1187858
2339,996053
2340,1056859
2341,1485104
2342,1205880
2343,68844
2344,941711
2345,162758
2346,650014
2347,750921
2348,1294861
2349,1483619
2350,530499
2351,960585
2352,1204826
2353,1394641
2354,1248631
2355,989906
2356,1438844
2357,573783
2358,1237580
2359,1151164
2360,466184
2361,610347
2362,880087
2363,770245
2364,344362
2365,1391992
